 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0300     7B      F    0   0        1111110 1111                              
 0301     7A      F    0   0        1111110 1111                              
 0302     79      F    0   0        1111110 1111                              
 0303     78      F    0   0        1111110 1111                              
 0304     77      F    0   0        1111110 1111                              
 0305     76      F    0   0        1111110 1111                              
 0306     75      F    0   0        1111110 1111                              
 0307     74      4    0   0        1111110 1111                              
 0308     73      1    0   0        1111110 1111                              
 0309     7C      0    0   0        1111110 1111                              
 0310     7B      0    0   0        1111110 1111                              
 0311     7A      0    0   0        1111110 1111                              
 0312     79      0    0   0        1111110 1111                              
 0313     78      0    0   0        1111110 1111                              
 0314     77      0    0   0        1111110 1111                              
 0315     76      0    0   0        1111110 1111                              
 0316     75      0    0   0        1111110 1111                              
 0317     74      4    0   0        1111110 1111                              
 0318     73      5    0   0        1111110 1111                              
 0319     7C      F    1   0        0111101 1111                              
 0320     7B      F    1   0        0111101 1111                              
 0321     7A      F    1   0        0111101 1111                              
 0322     79      F    1   0        0111101 1111                              
 0323     78      F    1   0        0111101 1111                              
 0324     77      F    1   0        0111101 1111                              
 0325     76      F    1   0        0111101 1111                              
 0326     75      F    1   0        0111101 1111                              
 0327     74      4    1   0        0111101 1111                              
 0328     73      1    1   0        0111101 1111                              
 0329     7E      0    1   0        1111101 1111                              
 0330     7D      0    1   0        1111101 1111                              
 0331     7C      0    1   0        1111101 1111                              
 0332     7B      0    1   0        1111101 1111                              
 0333     7A      0    1   0        1111101 1111                              
 0334     79      8    1   0        1111101 1111                              
 0335     78      0    1   0        1111101 1111                              
 0336     77      0    1   0        1111101 1111                              
 0337     76      0    1   0        1111101 1111                              
 0338     75      0    1   0        1111101 1111                              
 0339     74      4    1   0        1111101 1111                              
 0340     73      5    1   0        1111101 1111                              
 0341     7C      F    0   0        1111110 1111                              
 0342     7B      F    0   0        1111110 1111                              
 0343     7A      F    0   0        1111110 1111                              
 0344     79      F    0   0        1111110 1111                              
 0345     78      F    0   0        0111110 1111                              
 0346     77      F    0   0        0111110 1111                              
 0347     76      F    0   0        0111110 1111                              
 0348     75      F    0   0        0111110 1111                              
 0349     74      F    0   0        0111110 1111                              
 0350     73      F    0   0        0111110 1111                              
 0351     7E      0    0   0        0111110 1111                              
 0352     7D      0    0   0        0111110 1111                              
 0353     7C      0    0   0        0111110 1111                              
 0354     7B      0    0   0        0111110 1111                              
 0355     7A      0    0   0        0111110 1111                              
 0356     79      0    0   0        0111110 1111                              
 0357     78      0    0   0        0111110 1111                              
 0358     77      0    0   0        0111110 1111                              
 0359     76      0    0   0        0111110 1111                              
 0360     75      8    0   0        0111110 1111                              
 0361     74      0    0   0        0111110 1111                              
