 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 0963     06      0    1   1        11111111 1111                             
 0965     07      0    1   1        11111111 1111                             
 0967     08      0    1   1        11111111 1111                             
 0969     09      0    1   1        11111111 1111                             
 0971     0A      4    1   1        11111111 1111                             
 0973     0B      4    1   1        11111111 1111                             
 0975     0C      5    1   1        11111111 1111                             
 0977     03      D    1   1        11111111 1111                             
 0979     03      F    1   1        11111111 1111                             
 0981     04      F    1   1        11111111 1111                             
 0983     05      F    1   1        11111111 1111                             
 0985     06      F    1   1        11111111 1111                             
 0987     07      F    1   1        11111111 1111                             
 0989     08      F    1   1        11111111 1111                             
 0991     09      F    1   1        11111111 1111                             
 0993     0A      0    1   1        11111111 1111                             
 0995     0B      4    1   1        11111111 1111                             
 0997     0C      1    1   1        11111111 1111                             
 0999     03      E    1   1        11111111 1111                             
 1001     04      0    1   1        11111111 1111                             
 1003     05      8    1   1        11111111 1111                             
 1005     03      0    1   1        11111111 1111                             
 1007     04      0    1   1        11111111 1111                             
 1009     05      0    1   1        11111111 1111                             
 1011     06      0    1   1        11111111 1111                             
 1013     07      0    1   1        11111111 1111                             
 1015     08      0    1   1        11111111 1111                             
 1017     09      0    1   1        11111111 1111                             
 1019     0A      0    1   1        11111111 1111                             
 1021     0B      0    1   1        11111111 1111                             
 1023     0C      0    1   1        11111111 1111                             
 1025     03      F    1   1        11111111 1111                             
 1027     03      F    1   1        11111111 1111                             
 1029     04      F    1   1        11111111 1111                             
 1031     05      F    1   1        11111111 1111                             
 1033     06      F    1   1        11111111 1111                             
 1035     07      F    1   1        11111111 1111                             
 1037     08      F    1   1        11111111 1111                             
 1039     09      F    1   1        11111111 1111                             
 1041     0A      F    1   1        11111111 1111                             
 1043     0B      F    1   1        11111111 1111                             
 1045     0C      F    1   1        11111111 1111                             
 1047     09      0    1   1        11111111 1111                             
 1049     0A      0    1   1        11111111 1111                             
 1051     0B      0    1   1        11111111 1111                             
 1053     03      F    1   1        11111111 1111                             
 1055     04      F    1   1        11111111 1111                             
 1057     05      F    1   1        11111111 1111                             
 1059     06      F    1   1        11111111 1111                             
 1061     07      F    1   1        11111111 1111                             
 1063     08      F    1   1        11111111 1111                             
 1065     09      F    1   1        11111111 1111                             
 1067     0A      F    1   1        11111111 1111                             
