 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 7895     75      F    1011111                                                
 7896     74      F    1011111                                                
 7897     73      F    1011111                                                
 7898     7E      0    1011111                                                
 7899     7D      0    1011111                                                
 7900     7C      0    1011111                                                
 7901     7B      0    1011111                                                
 7902     7A      0    1011111                                                
 7903     79      0    1011111                                                
 7904     78      0    1011111                                                
 7905     77      0    1011111                                                
 7906     76      0    1011111                                                
 7907     75      0    1011111                                                
 7908     74      0    1011111                                                
 7909     73      0    1011111                                                
 7910     75      4    1101111                                                
 7911     74      1    1101111                                                
 7912     73      0    1101111                                                
 7913     7E      0    1101111                                                
 7914     7D      B    1101111                                                
 7915     7C      B    1101111                                                
 7916     7B      F    1101111                                                
 7917     7A      0    1101111                                                
 7918     79      0    1101111                                                
 7919     78      F    1101111                                                
 7920     77      8    1101111                                                
 7921     76      0    1101111                                                
 7922     75      0    1101111                                                
 7923     74      0    1101111                                                
 7924     73      0    1101111                                                
 7925     7E      0    1101111                                                
 7926     7D      0    1101111                                                
 7927     7C      0    1101111                                                
 7928     7B      0    1101111                                                
 7929     7A      0    1101111                                                
 7930     79      0    1101111                                                
 7931     78      0    1101111                                                
 7932     77      0    1101111                                                
 7933     76      4    1101111                                                
 7934     75      4    1101111                                                
 7935     74      4    1101111                                                
 7936     73      4    1101111                                                
 7937     7E      A    1011111                                                
 7938     7D      A    1011111                                                
 7939     7C      B    1011111                                                
 7940     7B      F    1011111                                                
 7941     7A      F    1011111                                                
 7942     79      F    1011111                                                
 7943     78      F    1011111                                                
 7944     77      F    1011111                                                
 7945     76      F    1011111                                                
 7946     75      F    1011111                                                
 7947     74      F    1011111                                                
 7948     73      F    1011111                                                
 7949     7E      0    1011111                                                
 7950     7D      0    1011111                                                
 7951     7C      0    1011111                                                
 7952     7B      0    1011111                                                
 7953     7A      0    1011111                                                
 7954     79      0    1011111                                                
 7955     78      0    1011111                                                
 7956     77      0    1011111                                                
 7957     76      0    1011111                                                
 7958     75      0    1011111                                                
 7959     74      0    1011111                                                
 7960     73      0    1011111                                                
 7961     7E      B    1101111                                                
 7962     7D      B    1101111                                                
 7963     7C      B    1101111                                                
 7964     7B      F    1101111                                                
 7965     7A      0    1101111                                                
 7966     79      0    1101111                                                
 7967     78      F    1101111                                                
 7968     77      8    1101111                                                
 7969     76      0    1101111                                                
 7970     75      0    1101111                                                
 7971     74      0    1101111                                                
 7972     73      0    1101111                                                
 7973     7E      0    1101111                                                
 7974     7D      0    1101111                                                
 7975     7C      0    1101111                                                
 7976     7B      0    1101111                                                
 7977     7A      0    1101111                                                
 7978     79      0    1101111                                                
 7979     78      0    1101111                                                
 7980     77      0    1101111                                                
 7981     76      4    1101111                                                
 7982     75      4    1101111                                                
 7983     74      4    1101111                                                
 7984     73      4    1101111                                                
 7985     7E      B    1011111                                                
 7986     7D      B    1011111                                                
 7987     7C      B    1011111                                                
 7988     7B      F    1011111                                                
 7989     7A      F    1011111                                                
 7990     79      F    1011111                                                
 7991     78      F    1011111                                                
 7992     77      F    1011111                                                
 7993     76      F    1011111                                                
 7994     75      F    1011111                                                
 7995     74      F    1011111                                                
 7996     73      F    1011111                                                
 7997     7E      0    1011111                                                
 7998     7D      0    1011111                                                
 7999     7C      0    1011111                                                
 8000     7B      0    1011111                                                
 8001     7A      0    1011111                                                
 8002     79      0    1011111                                                
 8003     78      0    1011111                                                
 8004     77      0    1011111                                                
 8005     76      0    1011111                                                
 8006     75      0    1011111                                                
 8007     74      0    1011111                                                
 8008     73      0    1011111                                                
 8009     75      0    1101111                                                
 8010     74      0    1101111                                                
 8011     73      0    1101111                                                
 8012     7E      2    1101111                                                
 8013     7D      B    1101111                                                
 8014     7C      B    1101111                                                
 8015     7B      F    1101111                                                
 8016     7A      0    1101111                                                
 8017     79      0    1101111                                                
 8018     78      F    1101111                                                
 8019     77      8    1101111                                                
 8020     76      0    1101111                                                
 8021     75      0    1101111                                                
 8022     74      0    1101111                                                
 8023     73      0    1101111                                                
 8024     7E      0    1101111                                                
 8025     7D      0    1101111                                                
 8026     7C      0    1101111                                                
 8027     7B      0    1101111                                                
 8028     7A      0    1101111                                                
 8029     79      0    1101111                                                
 8030     78      0    1101111                                                
 8031     77      0    1101111                                                
 8032     76      4    1101111                                                
 8033     75      4    1101111                                                
 8034     74      4    1101111                                                
 8035     73      4    1101111                                                
 8036     7E      B    1011111                                                
 8037     7D      B    1011111                                                
 8038     7C      B    1011111                                                
 8039     7B      F    1011111                                                
 8040     7A      F    1011111                                                
 8041     79      F    1011111                                                
